Nameoforg,OGRN,INN,Orgaddr,Productmanufaddress,Regnumber,Ektrudp,Docdate,Docvalidtill,Enddate,Registernumber,Productname,OKPD2,TNVED,Nameofregulations,Score,Percentage,Scoredesc,Iselectronicproduct,Isai,ElectronicProductLevel,Docname,Docdatebasis,Docnum,Docvalidtilltpp,Mptdep,Resdocnum
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\92\2023,-,2023-05-24,2026-05-23,-,10115957,Передвижной мусорный контейнер 770л Арт.26.C19.H (20.804.60.PE; 21.053.60.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\89\2023,-,2023-05-24,2026-05-23,-,10115958,Передвижной мусорный контейнер 770л Арт.26.C19.H (20.804.40.PE; 21.053.40.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\75\2023,-,2023-05-24,2026-05-23,-,10115959,Передвижной мусорный контейнер 660л Арт.25.C19.Н (20.803.60.PE; 21.053.60.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\14\2023,-,2023-05-24,2026-05-23,-,10115960,Передвижной мусорный контейнер 120л Арт.23.C29.V/1 (20.801.70.PE; 21.051.70.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\77\2023,-,2023-05-24,2026-05-23,-,10115961,Передвижной мусорный контейнер 660л Арт.25.C19.Н (20.803.70.PE; 21.053.70.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\20\2023,-,2023-05-24,2026-05-23,-,10115962,Передвижной мусорный контейнер 240л  Арт.24.C29.V/1 (20.802.20.PE; 21.052.20.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\29\2023,-,2023-05-24,2026-05-23,-,10115963,Передвижной мусорный контейнер 240л  Арт.24.C29.V/1 (20.802.60.PE; 21.052.60.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\123\2023,-,2023-05-24,2026-05-23,-,10115964,Передвижной мусорный контейнер 1100л  Арт.22.C19.Н (20.800.70.PE; 21.050.70.PE.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\59\2023,-,2023-05-24,2026-05-23,-,10115965,Передвижной мусорный контейнер 360л  Арт.28.C29 (20.806.98.PE; 21.055.98.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\53\2023,-,2023-05-24,2026-05-23,-,10115966,Передвижной мусорный контейнер 360л  Арт.28.C82.V/1 (20.806.60.PE; 21.055.60.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\43\2023,-,2023-05-24,2026-05-23,-,10115967,Передвижной мусорный контейнер 360л  Арт.28.C82.V/1 (20.806.30.PE; 21.055.30.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\42\2023,-,2023-05-24,2026-05-23,-,10115968,Передвижной мусорный контейнер 360л  Арт.28.C29.H (20.806.30.PE; 21.055.30.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\130\2023,-,2023-05-24,2026-05-23,-,10115969,Передвижной мусорный контейнер 1100л  Арт.22.C19.V/1 (20.800.60.PE; 21.050.60.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\114\2023,-,2023-05-24,2026-05-23,-,10115970,Передвижной мусорный контейнер 1100л  Арт.22.C19.W (20.800.40.PE; 21.050.40.PE.W),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\117\2023,-,2023-05-24,2026-05-23,-,10115971,Передвижной мусорный контейнер 1100л  Арт.22.C21 (20.800.60.PE; 21.050.60.PE) ,22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\56\2023,-,2023-05-24,2026-05-23,-,10115972,Передвижной мусорный контейнер 360л  Арт.28.C29.H (20.806.70.PE; 21.055.70.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\67\2023,-,2023-05-24,2026-05-23,-,10115973,Передвижной мусорный контейнер 660л  Арт.25.C19 (20.803.30.PE; 21.053.30.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\109\2023,-,2023-05-24,2026-05-23,-,10115974,Передвижной мусорный контейнер 1100л  Арт.22.C19.H (20.800.30.PE; 21.050.30.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\110\2023,-,2023-05-24,2026-05-23,-,10115975,Передвижной мусорный контейнер 1100л  Арт.22.C19 (20.800.40.PE; 21.050.40.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\11\2023,-,2023-05-24,2026-05-23,-,10115976,Передвижной мусорный контейнер 120л  Арт.23.C21 (20.801.60.PE; 21.051.60.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\21\2023,-,2023-05-24,2026-05-23,-,10115977,Передвижной мусорный контейнер 240л  Арт.24.C29 (20.802.20.PE; 21.052.30),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\25\2023,-,2023-05-24,2026-05-23,-,10115978,Передвижной мусорный контейнер 240л  Арт.24.C21 (20.802.40.PE; 21.052.40.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\28\2023,-,2023-05-24,2026-05-23,-,10115979,Передвижной мусорный контейнер 240л  Арт.24.C21 (20.802.60.PE; 21.052.60.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\80\2023,-,2023-05-24,2026-05-23,-,10115980,Передвижной мусорный контейнер 660л Арт.25.C19.Н (20.803.98.PE; 21.053.98.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\71\2023,-,2023-05-24,2026-05-23,-,10115981,Передвижной мусорный контейнер 660л Арт.25.C19.V/1 (20.803.40.PE; 21.053.40.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\79\2023,-,2023-05-24,2026-05-23,-,10115982,Передвижной мусорный контейнер 660л Арт.25.C19.V/1 (20.803.98.PE; 21.053.98.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\9\2023,-,2023-05-24,2026-05-23,-,10115983,Передвижной мусорный контейнер 120л  Арт.23.C29.V/1 (20.801.40.PE; 21.051.40.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\16\2023,-,2023-05-24,2026-05-23,-,10115984,Передвижной мусорный контейнер 120л  Арт.23.C21 (20.801.98.PE; 21.051.98.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\33\2023,-,2023-05-24,2026-05-23,-,10115985,Передвижной мусорный контейнер 240л  Арт.24.C21 (20.802.98.PE; 21.052.98.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\31\2023,-,2023-05-24,2026-05-23,-,10115986,Передвижной мусорный контейнер 240л  Арт.24.C29.V/1 (20.802.70.PE; 21.052.70.V/1) ,22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\22\2023,-,2023-05-24,2026-05-23,-,10115987,Передвижной мусорный контейнер 240л  Арт.24.C21 (20.802.20.PE; 21.052.30.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\127\2023,-,2023-05-24,2026-05-23,-,10115988,Передвижной мусорный контейнер 1100л  Арт.22.C19.V/1 (20.800.98.PE; 21.050.98.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\119\2023,-,2023-05-24,2026-05-23,-,10115989,Передвижной мусорный контейнер 1100л  Арт.22.C19.W (20.800.60.PE; 21.050.60.PE.W),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\48\2023,-,2023-05-24,2026-05-23,-,10115990,Передвижной мусорный контейнер 360л  Арт.28.C82.V/1 (20.806.40.PE; 21.055.40.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\52\2023,-,2023-05-24,2026-05-23,-,10115991,Передвижной мусорный контейнер 360л  Арт.28.C29.H (20.806.60.PE; 21.055.60.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\49\2023,-,2023-05-24,2026-05-23,-,10115992,Передвижной мусорный контейнер 360л  Арт.28.C82.H (20.806.40.PE; 21.055.40.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\36\2023,-,2023-05-24,2026-05-23,-,10115993,Передвижной мусорный контейнер 360л  Арт.28.C29.V/1 (20.806.20.PE; 21.055.20.PE.V/1) ,22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\128\2023,-,2023-05-24,2026-05-23,-,10115994,Передвижной мусорный контейнер 1100л  Арт.22.C19.W (20.800.98.PE; 21.050.98.PE.W),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\125\2023,-,2023-05-24,2026-05-23,-,10115995,Передвижной мусорный контейнер 1100л  Арт.22.C21 (20.800.98.PE; 21.050.98.PE) ,22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\122\2023,-,2023-05-24,2026-05-23,-,10115996,Передвижной мусорный контейнер 1100л  Арт.22.C19.W (20.800.70.PE; 21.050.70.PE.W),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
